757026175112	400049395288	004939528	CLTN24 WMKT AST	1
757026067936	757026067936	004900125	078W99GSPL	25	1
757026068285	757026068285	004900153	045SW03RHIN	25	1
757026068292	757026068292	004900146	032W00RHIN	50	1
757026068308	757026068308	004900139	033W01RHIN	25	1
757026068315	757026068315	004900132	155W80RHIN	50	1
757026160903	757026160903	004917962	117W99 CPGM	25	1
757026168152	757026168152	004920778	ASST CAMO	1	1
757026170889	757026170889	004932631	WALPDQ KD08	1	1
757026171435	757026171435	004934593	CASES	1	1
757026173453	757026173453	004935356	CTLN14 001	1	1
757026173866	757026173866	004935328	903PSFL PNK	1	1
757026175112	757026175112	004939528	CLTN24 WMKT AST	1	1
757026175136	757026175136	004935342	WALPDQ KDBS AST	1	1
757026177413	757026177413	004942384	FALL 08	1	1
757026171497	757026171497	630462429	905W99 CRMT BLK	1	1
757026171503	757026171503	630462499	905W99 CRMT BLU	1	1
757026171510	757026171510	630462569	905W99 CRMT FCH	1	1
757026171541	757026171541	630462789	905W99 CRMT TAN	1	1
757026171442	757026171442	630462859	905W99 RPTL BLU	1	1
757026171466	757026171466	630463019	905W99 RPTL GRN	1	1
757026171473	757026171473	630463149	905W99 RPTL MAG	1	1
757026171558	757026171558	630463289	905W99 SNKE BLK	1	1
757026171589	757026171589	630463499	905W99 SNKE MAG	1	1
757026166707	757026166707	004925889	WMCTLN14	1	1
757026182882	757026182882	004946829	HOLIDAY 08	1	1
757026184077	757026184077	004946808	KIDS 08	1	1
757026184206	757026184206	004946815	CTL 08	1	1
757026184565	757026184565	004946822	CAMO 08	1	1
757026190641	757026190641	004949609	WM800CTCSBLUE	1	1
757026191211	757026191211	004951919	WM800WRPCTCSBLU	1	1
757026202115	757026202115	004965477	FLOATEYESKIT	1	1
757026203723	757026203723	004966681	15PCFLOATEYES	1	1
757026191600	757026191600	004958423	FASHPCKASRT	1	1
757026207653	757026207653	004972044	SUNCASEASST	1	1
757026207608	757026207608	004972002	20002PAWVGR	1	1
757026207592	757026207592	004971995	20002OMBCBL	1	1
757026207585	757026207585	004971988	20002OMBCPU	1	1
757026207646	757026207646	004972030	20029CRNPGR	1	1
757026207639	757026207639	004972023	20036FRPTRE	1	1
757026207622	757026207622	004972016	20036FRPTGO	1	1
757026207615	757026207615	004972009	20036FRPTBL	1	1
757026153431	757026153431	004972037	00652MESHRE	1	1
